id,name,type,sale_ok,purchase_ok,maple_syrup,maple_container,categ_id/id,tracking,uom_id/id,uom_po_id/id,product_tmpl_id/id,default_code,attribute_value_ids
maple.srp4salePDOR1,Maple Syrup R-B DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePDO--,PDOR1,"Pending,Golden,VR1"
maple.srp4salePAMR1,Maple Syrup R-B AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePAM--,PAMR1,"Pending,Amber,VR1"
maple.srp4salePFOR1,Maple Syrup R-B FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePFO--,PFOR1,"Pending,Dark,VR1"
maple.srp4salePTFR1,Maple Syrup R-B TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePTF--,PTFR1,"Pending,Very Dark,VR1"
maple.srp4saleBDOR2,Maple Syrup BIO DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBDO--,BDOR2,"Organic,Golden,VR2"
maple.srp4saleBAMR2,Maple Syrup BIO AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBAM--,BAMR2,"Organic,Amber,VR2"
maple.srp4saleBFOR2,Maple Syrup BIO FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBFO--,BFOR2,"Organic,Dark,VR2"
maple.srp4saleBTFR2,Maple Syrup BIO TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBTF--,BTFR2,"Organic,Very Dark,VR2"
maple.srp4saleRDOR2,Maple Syrup REG DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRDO--,RDOR2,"Regular,Golden,VR2"
maple.srp4saleRAMR2,Maple Syrup REG AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRAM--,RAMR2,"Regular,Amber,VR2"
maple.srp4saleRFOR2,Maple Syrup REG FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRFO--,RFOR2,"Regular,Dark,VR2"
maple.srp4saleRTFR2,Maple Syrup REG TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRTF--,RTFR2,"Regular,Very Dark,VR2"
maple.srp4salePDOR2,Maple Syrup R-B DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePDO--,PDOR2,"Pending,Golden,VR2"
maple.srp4salePAMR2,Maple Syrup R-B AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePAM--,PAMR2,"Pending,Amber,VR2"
maple.srp4salePFOR2,Maple Syrup R-B FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePFO--,PFOR2,"Pending,Dark,VR2"
maple.srp4salePTFR2,Maple Syrup R-B TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePTF--,PTFR2,"Pending,Very Dark,VR2"
maple.srp4saleBDOR4,Maple Syrup BIO DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBDO--,BDOR4,"Organic,Golden,VR4"
maple.srp4saleBAMR4,Maple Syrup BIO AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBAM--,BAMR4,"Organic,Amber,VR4"
maple.srp4saleBFOR4,Maple Syrup BIO FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBFO--,BFOR4,"Organic,Dark,VR4"
maple.srp4saleBTFR4,Maple Syrup BIO TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBTF--,BTFR4,"Organic,Very Dark,VR4"
maple.srp4saleRDOR4,Maple Syrup REG DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRDO--,RDOR4,"Regular,Golden,VR4"
maple.srp4saleRAMR4,Maple Syrup REG AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRAM--,RAMR4,"Regular,Amber,VR4"
maple.srp4saleRFOR4,Maple Syrup REG FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRFO--,RFOR4,"Regular,Dark,VR4"
maple.srp4saleRTFR4,Maple Syrup REG TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRTF--,RTFR4,"Regular,Very Dark,VR4"
maple.srp4salePDOR4,Maple Syrup R-B DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePDO--,PDOR4,"Pending,Golden,VR4"
maple.srp4salePAMR4,Maple Syrup R-B AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePAM--,PAMR4,"Pending,Amber,VR4"
maple.srp4salePFOR4,Maple Syrup R-B FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePFO--,PFOR4,"Pending,Dark,VR4"
maple.srp4salePTFR4,Maple Syrup R-B TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePTF--,PTFR4,"Pending,Very Dark,VR4"
maple.srp4saleBDOR5,Maple Syrup BIO DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBDO--,BDOR5,"Organic,Golden,VR5"
maple.srp4saleBAMR5,Maple Syrup BIO AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBAM--,BAMR5,"Organic,Amber,VR5"
maple.srp4saleBFOR5,Maple Syrup BIO FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBFO--,BFOR5,"Organic,Dark,VR5"
maple.srp4saleBTFR5,Maple Syrup BIO TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBTF--,BTFR5,"Organic,Very Dark,VR5"
maple.srp4saleRDOR5,Maple Syrup REG DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRDO--,RDOR5,"Regular,Golden,VR5"
maple.srp4saleRAMR5,Maple Syrup REG AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRAM--,RAMR5,"Regular,Amber,VR5"
maple.srp4saleRFOR5,Maple Syrup REG FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRFO--,RFOR5,"Regular,Dark,VR5"
maple.srp4saleRTFR5,Maple Syrup REG TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRTF--,RTFR5,"Regular,Very Dark,VR5"
maple.srp4salePDOR5,Maple Syrup R-B DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePDO--,PDOR5,"Pending,Golden,VR5"
maple.srp4salePAMR5,Maple Syrup R-B AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePAM--,PAMR5,"Pending,Amber,VR5"
maple.srp4salePFOR5,Maple Syrup R-B FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePFO--,PFOR5,"Pending,Dark,VR5"
maple.srp4salePTFR5,Maple Syrup R-B TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePTF--,PTFR5,"Pending,Very Dark,VR5"
maple.srp4saleBDOC1,Maple Syrup BIO DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBDO--,BDOC1,"Organic,Golden,NC1"
maple.srp4saleBAMC1,Maple Syrup BIO AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBAM--,BAMC1,"Organic,Amber,NC1"
maple.srp4saleBFOC1,Maple Syrup BIO FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBFO--,BFOC1,"Organic,Dark,NC1"
maple.srp4saleBTFC1,Maple Syrup BIO TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleBTF--,BTFC1,"Organic,Very Dark,NC1"
maple.srp4saleRDOC1,Maple Syrup REG DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRDO--,RDOC1,"Regular,Golden,NC1"
maple.srp4saleRAMC1,Maple Syrup REG AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRAM--,RAMC1,"Regular,Amber,NC1"
maple.srp4saleRFOC1,Maple Syrup REG FO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRFO--,RFOC1,"Regular,Dark,NC1"
maple.srp4saleRTFC1,Maple Syrup REG TF,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4saleRTF--,RTFC1,"Regular,Very Dark,NC1"
maple.srp4salePDOC1,Maple Syrup R-B DO,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePDO--,PDOC1,"Pending,Golden,NC1"
maple.srp4salePAMC1,Maple Syrup R-B AM,product,1,0,1,0,maple.maple_category,none,product.product_uom_lb,product.product_uom_lb,maple.srp4salePAM--,PAMC1,"Pending,Amber,NC1"
